handle,category_slug
"eauto-petrol-tank-for-bajaj-platina-new-model-blue","petrol-tank"
"eauto-petrol-tank-for-honda-shine-bs6-blue-2020-present-models","petrol-tank"
"ensons-petrol-tank-for-royal-enfield-bullet-classic-350-bs3-old-model-before-apr-2014-models-black-golden-colour","petrol-tank"
"head-light-set-for-honda-cb-trigger","head-light"
"ensons-petrol-tank-for-yamaha-rx100-rx135-rxg-light-green","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-rx135-rxg-shiny-grey","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-rx135-rxg-matte-grey","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-6-volt-grey-or-silver","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-6-volt-red","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-rx135-rxg-type-2-green","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-rx135-rxg-type-2-purple-blue-1","petrol-tank"
"ensons-petrol-tank-for-yamaha-rx100-rx135-rxg-type-2-purple-blue","petrol-tank"
"eauto-analog-speedometer-assembly-for-bajaj-platina-100-es-8-pin-white-coupler","speedometer"
"digital-speedometer-for-yamaha-fascino-125","speedometer"
"techlon-bike-carburetor-for-tvs-jupiter-wego-models-till-2016-bs3-models","carburetor"
"side-panel-for-hero-passion-bs6-set-of-4-h-grey-colour","side-panel"
"side-panel-for-hero-passion-bs6-set-of-4-sports-red-colour","side-panel"
"side-panel-for-hero-passion-bs6-set-of-4-black-red-colour","side-panel"
"side-panel-for-hero-passion-x-pro-type-2-set-of-4-l-blue-colour","side-panel"
"side-panel-for-hero-passion-x-pro-type-2-set-of-4-sports-red-colour","side-panel"
"side-panel-for-hero-passion-x-pro-type-2-set-of-4-black-red-colour","side-panel"
"side-panel-for-hero-passion-pro-digital-model-heavy-grey-black-colour","side-panel"
"side-panel-for-hero-passion-pro-digital-model-l-blue-colour","side-panel"
"side-panel-for-hero-passion-pro-digital-model-sports-red-black-colour","side-panel"
"side-panel-for-hero-passion-pro-digital-model-black-red-colour","side-panel"
"side-panel-for-hero-passion-pro-digital-model-black-silver-colour","side-panel"
"side-panel-for-hero-passion-pro-digital-model-black-blue-colour","side-panel"
"side-panel-for-hero-passion-pro-type-1-sports-red-black-colour","side-panel"
"side-panel-for-hero-passion-pro-type-1-black-green-colour","side-panel"
"side-panel-for-hero-passion-pro-type-1-black-grey-colour","side-panel"
"side-panel-for-hero-passion-pro-type-1-black-red-colour","side-panel"
"side-panel-for-hero-passion-pro-type-1-black-blue-colour","side-panel"
"side-panel-for-hero-super-splendor-type1-z-sticker-silver-red-colour","side-panel"
"side-panel-for-hero-super-splendor-type1-z-sticker-silver-blue-colour","side-panel"
"side-panel-for-hero-splendor-nxg-red-colour","side-panel"
"side-panel-for-hero-splendor-bs6-2021-model-black-purple-colour","side-panel"
"side-panel-for-hero-splendor-bs6-2020-model-both-side-nut-bolt-silver-blue-colour","side-panel"
"side-panel-for-hero-splendor-pro-wine-red-colour","side-panel"
"side-panel-for-hero-splendor-plus-silver-red-colour","side-panel"
"engine-guard-for-tvs-apache-rtr-160-new-model-apache-rtr-180-new-model-set-of-3-titanium-grey","engine"
"side-panel-for-hero-passion-2016-model-set-of-4-black-silver-colour","side-panel"
"side-panel-for-hero-passion-2016-model-set-of-4-sports-red-colour","side-panel"
"side-panel-for-hero-passion-2016-model-set-of-4-forst-blue-colour","side-panel"
"side-panel-for-hero-passion-2016-model-set-of-4-heavy-grey-colour","side-panel"
"side-panel-for-hero-passion-2016-model-set-of-4-black-red-colour","side-panel"
"side-panel-for-hero-passion-alloy-wheel-l-blue-black-colour","side-panel"
"side-panel-for-hero-passion-alloy-wheel-black-silver-colour","side-panel"
"side-panel-for-hero-passion-alloy-wheel-h-red-black-colour","side-panel"
"side-panel-for-hero-passion-alloy-wheel-black-red-colour","side-panel"
"side-panel-for-hero-passion-alloy-wheel-black-blue-colour","side-panel"
"side-panel-for-hero-passion-plus-wine-red-colour","side-panel"
